
2024/05/13 (09:56:31) | ===> btop++ v.1.3.2
2024/05/13 (09:56:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/14 (14:02:03) | ===> btop++ v.1.3.2
2024/05/14 (14:02:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/15 (09:09:01) | ===> btop++ v.1.3.2
2024/05/15 (09:09:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/15 (09:39:54) | ===> btop++ v.1.3.2
2024/05/15 (09:39:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/15 (13:44:13) | ===> btop++ v.1.3.2
2024/05/15 (13:44:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
